OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-34840,2025-257AC,2025-11-24T08:00:03.000384,15.71196442,.00011435,53.1594,352.1583,85.5189,208.8162,0,U,66406,999,347,-.17345274E-1,-.1976403E-1,0
STARLINK-35686,2025-257AD,2025-11-24T12:00:02.000160,15.70457821,.0001187,53.1594,351.3444,72.6323,80.8534,0,U,66407,999,356,-.17312E-1,-.1919205E-1,0
STARLINK-35679,2025-257AE,2025-11-24T12:00:02.000160,15.70457785,.0001341,53.1596,351.3418,74.3194,81.0832,0,U,66408,999,356,-.17318E-1,-.1919958E-1,0
CHUTIAN-2 A,2025-256A,2025-11-24T12:10:14.051712,14.49902387,.0012784,98.2786,33.5907,234.6667,125.3332,0,U,66409,999,223,.27197E-4,.61E-6,0
CHUTIAN-2 B,2025-256B,2025-11-24T12:03:04.857120,14.50987962,.0012846,98.2811,33.6013,239.0993,120.8939,0,U,66410,999,223,.18839E-3,.701E-5,0
ZK-1A R/B,2025-256C,2025-11-20T17:22:35.449824,15.01236100,.02323532,98.3243,30.9055,318.4537,39.9225,0,U,66411,999,174,.48987823E-3,.11214E-3,0
HULIANWANG DIGUI 13A,2025-258A,2025-11-24T05:53:12.280128,14.24073743,.00138134,50.0068,339.8010,294.8670,65.0807,0,U,66412,999,202,-.49223105E-4,-.274E-5,0
HULIANWANG DIGUI 13B,2025-258B,2025-11-24T07:45:00.917856,14.23476944,.00133286,50.0033,339.5384,292.2226,67.7273,0,U,66413,999,203,-.39002478E-4,-.249E-5,0
HULIANWANG DIGUI 13C,2025-258C,2025-11-24T07:40:42.137760,14.23502218,.00136475,50.0052,339.5331,291.6694,68.2765,0,U,66414,999,203,-.40667587E-4,-.252E-5,0
HULIANWANG DIGUI 13D,2025-258D,2025-11-22T13:27:20.820960,14.25899858,.00130561,50.0048,346.8921,293.5399,66.4143,0,U,66415,999,178,-.1142075E-4,-.188E-5,0
HULIANWANG DIGUI 13E,2025-258E,2025-11-24T07:37:55.695072,14.23463369,.00127966,50.0052,339.5235,299.8086,60.1554,0,U,66416,999,203,-.39846788E-4,-.251E-5,0
HULIANWANG DIGUI 13F,2025-258F,2025-11-24T00:51:41.118048,14.23484274,.00141804,50.0012,340.6960,302.1508,57.8029,0,U,66417,999,199,-.38845064E-4,-.248E-5,0
HULIANWANG DIGUI 13G,2025-258G,2025-11-24T05:49:05.633184,14.23812994,.00121036,50.0038,339.7789,294.9809,64.9846,0,U,66418,999,202,-.22945275E-4,-.212E-5,0
HULIANWANG DIGUI 13H,2025-258H,2025-11-24T07:28:11.496288,14.23625091,.00118501,50.0021,339.4698,292.9000,67.0662,0,U,66419,999,203,-.17483451E-4,-.199E-5,0
HULIANWANG DIGUI 13J,2025-258J,2025-11-22T08:19:04.011744,14.26346428,.00109393,50.0028,347.7517,293.8228,66.1539,0,U,66420,999,174,-.4779134E-5,-.172E-5,0
CZ-12 R/B,2025-258K,2025-11-24T06:58:02.973216,14.42312026,.00646128,49.9957,338.0051,183.1319,176.9205,0,U,66421,999,205,.25135996E-4,-.86E-6,0
STARLINK-35617,2025-259A,2025-11-24T12:00:02.000160,15.75017125,.0001658,42.9993,155.0589,277.9910,218.3122,0,U,66422,999,334,.38605E-3,.59183E-3,0
STARLINK-35618,2025-259B,2025-11-24T12:00:02.000160,15.75017176,.0001709,42.9991,155.0541,272.8119,225.4095,0,U,66423,999,334,.32405E-3,.49544E-3,0
STARLINK-35588,2025-259C,2025-11-24T12:00:02.000160,15.75001692,.0001605,42.9992,155.0499,263.1879,236.9586,0,U,66424,999,334,.57904E-3,.89269E-3,0
STARLINK-35555,2025-259D,2025-11-24T12:00:02.000160,15.75185948,.0001371,42.9992,155.0440,262.2020,239.8343,0,U,66425,999,334,-.15725E-2,-.236882E-2,0
STARLINK-35589,2025-259E,2025-11-24T12:00:02.000160,15.74991866,.0002271,42.9991,155.0404,264.3184,239.6640,0,U,66426,999,334,.89917E-3,.13967E-2,0
STARLINK-35611,2025-259F,2025-11-24T12:00:02.000160,15.75022927,.0002134,42.9991,155.0345,264.7212,241.1744,0,U,66427,999,334,.26632E-3,.40602E-3,0
STARLINK-35610,2025-259G,2025-11-24T12:00:02.000160,15.75030304,.0001579,42.9992,155.0296,261.6841,246.1264,0,U,66428,999,334,.12341E-3,.18514E-3,0
STARLINK-35533,2025-259H,2025-11-24T12:00:02.000160,15.75037137,.0002178,42.9992,155.0236,265.9188,243.8081,0,U,66429,999,334,.61641E-4,.9E-4,0
STARLINK-35470,2025-259J,2025-11-24T12:00:02.000160,15.75014915,.0002024,42.9992,155.0207,259.2002,252.4486,0,U,66430,999,334,.50773E-3,.78159E-3,0
STARLINK-35439,2025-259K,2025-11-24T12:00:02.000160,15.75073724,.0001615,42.9995,155.0142,263.0352,250.5181,0,U,66431,999,334,-.43757E-3,-.67261E-3,0
STARLINK-35446,2025-259L,2025-11-24T12:00:02.000160,15.75012612,.0001654,42.9992,155.0092,264.7883,250.6961,0,U,66432,999,334,.48837E-3,.75125E-3,0
STARLINK-35457,2025-259M,2025-11-24T12:00:02.000160,15.75044056,.000157,42.9992,155.0051,263.5970,253.7935,0,U,66433,999,334,.34501E-5,.53E-6,0
STARLINK-35389,2025-259N,2025-11-24T12:00:02.000160,15.75071228,.0002193,42.9993,155.0006,269.0951,250.2055,0,U,66434,999,334,-.45415E-3,-.6977E-3,0
STARLINK-35502,2025-259P,2025-11-24T12:00:02.000160,15.75069740,.0002336,42.9991,154.9962,260.4311,260.7913,0,U,66435,999,334,-.58627E-3,-.89715E-3,0
STARLINK-35501,2025-259Q,2025-11-24T12:00:02.000160,15.75101472,.0001408,42.9993,154.9866,251.5904,273.4221,0,U,66436,999,334,-.4851E-3,-.74539E-3,0
STARLINK-35474,2025-259R,2025-11-24T12:00:02.000160,15.75016849,.0001617,42.9993,154.9811,258.9621,268.0271,0,U,66437,999,334,.18729E-3,.28361E-3,0
STARLINK-34681,2025-259S,2025-11-24T12:00:02.000160,15.75071042,.0002054,42.9992,154.9761,261.4495,267.4411,0,U,66438,999,324,-.57001E-3,-.87266E-3,0
STARLINK-35327,2025-259T,2025-11-24T12:00:02.000160,15.75056747,.0002062,42.9992,154.9926,259.7635,263.3794,0,U,66439,999,334,-.45467E-3,-.69803E-3,0
STARLINK-35405,2025-259U,2025-11-24T12:00:02.000160,15.75035493,.0001821,42.9993,154.9721,263.1809,267.6369,0,U,66440,999,334,.68142E-4,.1E-3,0
STARLINK-35426,2025-259V,2025-11-24T12:00:02.000160,15.75031406,.000167,42.9993,154.9670,263.3774,269.3578,0,U,66441,999,334,.16704E-3,.25249E-3,0
STARLINK-34724,2025-259W,2025-11-24T12:00:02.000160,15.75018275,.0001634,42.9994,154.9622,257.2218,277.4366,0,U,66442,999,334,.21352E-3,.32417E-3,0
STARLINK-35219,2025-259X,2025-11-24T12:00:02.000160,15.75052312,.0001651,42.9994,154.9580,255.9293,280.6297,0,U,66443,999,324,-.2764E-3,-.42745E-3,0
STARLINK-35360,2025-259Y,2025-11-24T12:00:02.000160,15.75013176,.0001561,42.9994,154.9422,262.0183,280.2995,0,U,66444,999,334,.32155E-3,.49148E-3,0
