x,y,z,t,firing
6720302.646382,-7483795.404402,-8899628.231406,21175.548000,0
7000276.279413,-7376539.022481,-8771140.186569,21235.546000,0
7276104.384333,-7264914.295551,-8637454.115471,21295.545000,0
7547622.662063,-7148986.373656,-8498648.110316,21355.540000,0
7814669.260352,-7028822.953248,-8354803.295491,21415.538000,0
8077084.868502,-6904494.241067,-8206003.784224,21475.537000,0
8334712.810903,-6776072.916562,-8052336.633518,21535.536000,0
8587399.139396,-6643634.092938,-7893891.797424,21595.536000,0
8834992.724296,-6507255.276726,-7730762.078577,21655.532000,0
9077345.344161,-6367016.326015,-7563043.078115,21715.531000,0
9314311.774140,-6222999.407257,-7390833.143923,21775.529000,0
9545749.872878,-6075288.950690,-7214233.317207,21835.528000,0
9771520.667991,-5923971.604434,-7033347.277503,21895.528000,0
9991488.439925,-5769136.187202,-6848281.286024,21955.525000,0
10205520.804324,-5610873.639722,-6659144.127486,22015.524000,0
10413488.792700,-5449276.974829,-6466047.050338,22075.523000,0
10615266.931399,-5284441.226254,-6269103.705445,22135.523000,0
10810733.318876,-5116463.396163,-6068430.083287,22195.522000,0
10999769.701100,-4945442.401417,-5864144.449621,22255.518000,0
11182261.545199,-4771479.018625,-5656367.279733,22315.517000,0
11358098.111149,-4594675.827982,-5445221.191209,22375.515000,0
11527172.521501,-4415137.155896,-5230830.875298,22435.513000,0
11689381.829157,-4232969.016486,-5013323.026915,22495.512000,0
11844627.083024,-4048279.051913,-4792826.273253,22555.506000,0
11992813.391644,-3861176.471624,-4569471.101116,22615.504000,0
12133849.984627,-3671771.990507,-4343389.782942,22675.503000,0
12267650.271864,-3480177.765967,-4114716.301560,22735.501000,0
12394131.900544,-3286507.334014,-3883586.273751,22795.500000,0
12513216.809799,-3090875.544313,-3650136.872605,22855.496000,0
12624831.283094,-2893398.494312,-3414506.748753,22915.495000,0
12728905.998180,-2694193.462411,-3176835.950479,22975.493000,0
12825376.074578,-2493378.840231,-2937265.842765,23035.492000,0
12914181.118664,-2291074.064044,-2695939.025321,23095.490000,0
12995265.266135,-2087399.545345,-2452999.249623,23155.483000,0
13068577.222009,-1882476.600654,-2208591.335021,23215.482000,0
13134070.297983,-1676427.380561,-1962861.083958,23275.479000,0
13191702.447103,-1469374.798044,-1715955.196322,23335.473000,0
13241436.295778,-1261442.456145,-1468021.183034,23395.472000,0
13283239.173138,-1052754.574961,-1219207.278850,23455.471000,0
13317083.137568,-843435.918083,-969662.354486,23515.470000,0
13342945.000492,-633611.718471,-719535.828087,23575.469000,0
13360806.347266,-423407.603827,-468977.576102,23635.465000,0
13370653.555340,-212949.521505,-218137.843612,23695.465000,0
13372477.809469,-2363.662999,32832.845828,23755.464000,0
13366275.114005,208223.611928,283783.780786,23815.463000,0
13352046.302326,418685.851453,534564.152923,23875.463000,0
13329797.043223,628896.588162,785023.148283,23935.460000,0
13299537.844421,838729.415758,1035010.038859,23995.460000,0
13261284.053050,1048058.065948,1284374.274348,24055.459000,0
13215055.853080,1256756.485447,1532965.574055,24115.458000,0
13160878.259812,1464698.913073,1780634.018897,24175.458000,0
13098781.111237,1671759.956859,2027230.143402,24235.453000,0
13028799.056459,1877814.671153,2272605.027705,24295.453000,0
12950971.541005,2082738.633636,2516610.389420,24355.452000,0
12865342.789054,2286408.022203,2759098.675363,24415.451000,0
12771961.782679,2488699.691689,2999923.153049,24475.450000,0
12670882.237934,2689491.250322,3238938.001888,24535.448000,0
12562162.577991,2888661.135938,3475998.404061,24595.447000,0
12445865.903157,3086088.691819,3710960.634960,24655.446000,0
12322059.957827,3281654.242152,3943682.153145,24715.445000,0
12190817.094468,3475239.167045,4174021.689782,24775.444000,0
12052214.234485,3666725.977026,4401839.337445,24835.440000,0
11906332.826179,3855998.387018,4626996.638284,24895.439000,0
11753258.799655,4042941.389684,4849356.671443,24955.438000,0
11593082.518729,4227441.328115,5068784.139667,25015.438000,0
11425898.729954,4409385.967822,5285145.455085,25075.436000,0
11251806.508634,4588664.567925,5498308.824023,25135.428000,0
11070909.202025,4765167.951577,5708144.330889,25195.427000,0
10883314.369622,4938788.575485,5914524.020979,25255.426000,0
10689133.720574,5109420.598505,6117321.982166,25315.425000,0
10488483.048374,5276959.949293,6316414.425453,25375.424000,0
10281482.162679,5441304.392894,6511679.764257,25435.421000,0
10068254.818515,5602353.596309,6702998.692452,25495.419000,0
9848928.642729,5760009.192907,6890254.261044,25555.418000,0
9623635.057782,5914174.845663,7073331.953420,25615.413000,0
9392509.203000,6064756.309208,7252119.759177,25675.409000,0
9155689.853255,6211661.490587,7426508.246402,25735.409000,0
8913319.335125,6354800.508724,7596390.632406,25795.408000,0
8665543.440641,6494085.752527,7761662.852818,25855.407000,0
8412511.338632,6629431.937591,7922223.629009,25915.406000,0
8154375.483716,6760756.161440,8077974.533753,25975.403000,0
7891291.523105,6887977.957357,8228820.055201,26035.401000,0
7623418.201075,7011019.346590,8374667.658912,26095.400000,0
7350917.261379,7129804.889061,8515427.848089,26155.400000,0
7073953.347538,7244261.732446,8651014.221862,26215.399000,0
6792693.901098,7354319.659594,8781343.531582,26275.396000,0
6507309.058016,7459911.134340,8906335.735196,26335.396000,0
6217971.543058,7560971.345505,9025914.049444,26395.395000,0
5924856.562477,7657438.249222,9140005.000062,26455.394000,0
5628141.694912,7749252.609454,9248538.469811,26515.394000,0
5328006.780627,7836358.036674,9351447.744313,26575.390000,0
5024633.809222,7918701.024793,9448669.555790,26635.389000,0
4718206.805756,7996230.986101,9540144.124421,26695.388000,0
4408911.715509,8068900.284398,9625815.197539,26755.388000,0
4096936.287369,8136664.266165,9705630.086481,26815.387000,0
3782469.955948,8199481.289763,9779539.701086,26875.384000,0
3465703.722560,8257312.752764,9847498.581943,26935.384000,0
3146830.035040,8310123.117156,9909464.930117,26995.383000,0
2826042.666595,8357879.932635,9965400.634575,27055.382000,0
2503536.593708,8400553.857832,10015271.297147,27115.381000,0
2179507.873192,8438118.679472,10059046.255017,27175.377000,0
1854153.518523,8470551.329563,10096698.600859,27235.376000,0
1527671.375465,8497831.900393,10128205.200354,27295.375000,0
1200259.997138,8519943.657531,10153546.707318,27355.375000,0
872118.518598,8536873.050700,10172707.576294,27415.374000,0
543446.530999,8548609.722520,10185676.072601,27475.371000,0
214443.955464,8555146.515242,10192444.279972,27535.371000,0
-114689.083280,8556479.475239,10193008.105529,27595.370000,0
-443752.383395,8552607.855471,10187367.282326,27655.369000,0
-772545.792470,8543534.115803,10175525.369336,27715.368000,0
-1100869.334001,8529263.921170,10157489.748866,27775.366000,0
-1428523.333748,8509806.137731,10133271.621570,27835.366000,0
-1755308.545853,8485172.826774,10102885.998780,27895.365000,0
-2081026.278651,8455379.236617,10066351.692442,27955.364000,0
-2405478.520063,8420443.792362,10023691.302496,28015.363000,0
-2728468.062501,8380388.083539,9974931.201734,28075.359000,0
-3049798.627201,8335236.849762,9920101.518283,28135.358000,0
-3369274.987863,8285017.964183,9859236.115470,28195.357000,0
-3686703.093552,8229762.414992,9792372.569349,28255.356000,0
-4001890.190750,8169504.284826,9719552.143740,28315.355000,0
-4314644.944460,8104280.728141,9640819.762834,28375.351000,0
-4624777.558343,8034131.946661,9556223.981504,28435.350000,0
-4932099.893703,7959101.162719,9465816.953114,28495.349000,0
-5236425.587323,7879234.590721,9369654.395073,28555.348000,0
-5537570.168037,7794581.406632,9267795.552048,28615.347000,0
-5835351.171924,7705193.715516,9160303.156848,28675.343000,0
-6129588.256156,7611126.517276,9047243.389168,28735.342000,0
-6420103.311253,7512437.670402,8928685.831954,28795.341000,0
-6706720.571829,7409187.853971,8804703.425692,28855.340000,0
-6989266.725651,7301440.527803,8675372.420499,28915.340000,0
-7267571.020958,7189261.890818,8540772.326070,28975.337000,0
-7541465.372053,7072720.837726,8400985.859644,29035.336000,0
-7810784.462924,6951888.913905,8256098.891802,29095.335000,0
-8075365.848996,6826840.268672,8106200.390372,29155.331000,0
-8335050.056850,6697651.606887,7951382.362331,29215.330000,0
-8589680.681844,6564402.138938,7791739.793789,29275.327000,0
-8839104.483682,6427173.529230,7627370.588200,29335.326000,0
-9083171.479669,6286049.843055,7458375.502631,29395.326000,0
